Ps,ST,Pd,CompSpeed,WORK_MINUTES,T_dis_es,t_dis_old,T_dis_delay,t_dis
860.455505,15.900000,2923.171631,4198.800293,387.466187,84.279602,84.279579,84.279602,84.279579
861.671997,15.900000,2921.773193,4198.800293,387.516174,84.173721,84.173744,84.277504,84.277481
861.671997,15.900000,2917.578369,4204.800293,387.566162,84.067490,84.067520,84.271294,84.273323
863.496887,15.900000,2917.578369,4200.000000,387.632813,83.962662,83.962662,84.259193,84.267174
861.671997,16.000000,2917.578369,4200.000000,387.666138,84.157509,84.157524,84.256187,84.264999
861.063843,16.000000,2914.781494,4203.000000,387.799438,84.122398,84.122398,84.247147,84.262177
862.888550,16.000000,2911.984863,4198.800293,387.849426,83.947578,83.947571,84.238289,84.255943
862.280334,16.000000,2913.383301,4200.600098,387.899414,84.017319,84.017303,84.231758,84.251221
859.238953,16.000000,2909.188232,4205.399902,387.949402,84.088753,84.088760,84.227531,84.248001
861.671997,16.000000,2902.196533,4197.000000,388.349304,83.774620,83.774628,84.130898,84.238625
858.022400,16.000000,2900.798096,4195.199707,388.399292,83.953178,83.953171,84.125641,84.232971
858.022400,16.000000,2899.399902,4202.399902,388.432617,83.916161,83.916191,84.119453,84.226700
858.630615,16.000000,2900.798096,4195.799805,388.482605,83.917419,83.917389,84.115448,84.220573
858.022400,16.000000,2900.798096,4196.400391,388.715881,83.952835,83.952827,84.094208,84.215271
858.630615,16.000000,2898.001465,4193.399902,388.799194,83.848175,83.848160,84.082207,84.208000
855.589233,16.000000,2896.603271,4198.800293,388.849182,83.989868,83.989853,84.079475,84.203682
859.238953,16.000000,2893.806396,4199.399902,388.882507,83.706001,83.706032,84.072083,84.193825
862.280334,16.000000,2899.399902,4202.399902,389.165771,83.667923,83.667931,84.008896,84.183411
855.589233,16.000000,2899.399902,4203.599609,389.299072,84.058517,84.058510,84.012711,84.180939
861.063843,16.000000,2900.798096,4197.600098,389.382385,83.774925,83.774910,84.001114,84.172897
859.238953,16.000000,2902.196533,4198.800293,389.432373,83.915962,83.915985,83.998596,84.167809
859.847168,16.000000,2903.594971,4204.800293,389.515686,83.913696,83.913673,83.994461,84.162773
861.063843,16.000000,2904.993164,4202.399902,389.565674,83.878334,83.878326,83.991028,84.157143
862.280334,16.000000,2907.789795,4197.600098,389.782288,83.878670,83.878685,83.977325,84.151627
864.713379,15.900000,2911.984863,4197.600098,389.915588,83.753456,83.753456,83.958061,84.143745
865.321716,15.900000,2914.781494,4199.399902,389.998901,83.787369,83.787361,83.951370,84.136688
865.929932,15.900000,2920.375000,4204.200195,390.215515,83.890007,83.889999,83.943886,84.131805
865.321716,15.900000,2921.773193,4196.400391,390.265503,83.962212,83.962196,83.944427,84.128448
864.105225,15.900000,2924.570068,4201.799805,390.398804,84.100838,84.100845,83.957893,84.127899
865.929932,16.000000,2925.968262,4195.199707,390.515442,84.120186,84.120171,83.967346,84.127747
864.713379,16.000000,2924.570068,4205.399902,390.582092,84.153091,84.153069,83.974625,84.128250
867.146606,16.000000,2925.968262,4200.600098,390.615417,84.048195,84.048195,83.976082,84.126663
868.971313,16.000000,2925.968262,4205.399902,390.665405,83.941498,83.941475,83.975060,84.122993
865.321716,15.900000,2925.968262,4201.799805,390.715393,84.065002,84.064964,83.977722,84.121841
865.929932,16.000000,2927.366699,4192.799805,390.882019,84.155655,84.155655,83.994652,84.122513
865.321716,15.900000,2927.366699,4197.600098,390.915344,84.100975,84.100983,83.997795,84.122086
865.929932,15.900000,2927.366699,4200.000000,390.998657,84.065025,84.065033,84.000427,84.120956
862.280334,15.900000,2927.366699,4197.600098,391.081970,84.277870,84.277863,84.016586,84.124062
864.105225,15.900000,2927.366699,4203.000000,391.131958,84.170059,84.170074,84.021126,84.124969
859.847168,15.900000,2923.171631,4198.200195,391.248596,84.315361,84.315346,84.038261,84.128738
862.888550,15.900000,2920.375000,4198.800293,391.398560,84.068024,84.067986,84.040817,84.127533
864.713379,16.000000,2918.976563,4198.800293,391.448547,84.015762,84.015732,84.039841,84.125320
862.888550,16.000000,2918.976563,4202.399902,391.531860,84.120789,84.120789,84.043015,84.125229
862.888550,16.000000,2917.578369,4198.200195,391.581848,84.087151,84.087151,84.044319,84.124474
862.888550,16.000000,2917.578369,4198.200195,391.631836,84.087151,84.087151,84.045578,84.123734
862.280334,16.000000,2913.383301,4201.799805,391.715149,84.016975,84.016960,84.044189,84.121620
861.671997,16.000000,2911.984863,4198.800293,391.798462,84.018387,84.018387,84.042931,84.119576
859.847168,16.000000,2909.188232,4197.600098,391.831787,84.055420,84.055428,84.043297,84.118309
858.630615,16.000000,2909.188232,4199.399902,391.915100,84.126060,84.126068,84.046539,84.118462
857.414124,15.900000,2907.789795,4198.800293,391.965088,84.073837,84.073868,84.047348,84.117577
861.063843,16.000000,2907.789795,4199.399902,391.998413,83.948990,83.948997,84.044441,84.114235
858.022400,16.000000,2907.789795,4206.000000,392.048401,84.124870,84.124901,84.046036,84.114449
858.022400,15.900000,2904.993164,4195.199707,392.098389,83.969345,83.969368,84.043770,84.111572
858.630615,16.000000,2900.798096,4197.000000,392.315002,83.917076,83.917046,84.027214,84.107719
859.238953,16.000000,2899.399902,4202.399902,392.431641,83.845039,83.845070,84.016609,84.102516
858.022400,16.000000,2898.001465,4196.400391,392.598267,83.882881,83.882874,84.003883,84.098167
857.414124,16.000000,2900.798096,4203.000000,392.681580,83.986580,83.986572,84.002876,84.095955
858.630615,16.000000,2900.798096,4204.800293,392.731567,83.914871,83.914848,84.001129,84.092369
861.063843,16.000000,2900.798096,4193.399902,392.914856,83.776115,83.776070,83.977692,84.086105
860.455505,16.000000,2899.399902,4201.199707,392.964844,83.774414,83.774406,83.971687,84.079933
861.671997,16.000000,2899.399902,4198.800293,393.048157,83.704277,83.704300,83.958641,84.072495
861.063843,16.000000,2899.399902,4197.000000,393.081482,83.740166,83.740173,83.952187,84.065910
862.280334,16.000000,2899.399902,4197.000000,393.148132,83.669426,83.669464,83.943832,84.058060
862.280334,16.000000,2899.399902,4204.200195,393.198120,83.667427,83.667442,83.935661,84.050323
861.671997,16.000000,2900.798096,4200.600098,393.281433,83.738693,83.738670,83.926056,84.044151
857.414124,16.000000,2902.196533,4201.799805,393.348083,84.021896,84.021904,83.929810,84.043709
858.630615,16.000000,2902.196533,4199.399902,393.398071,83.951355,83.951355,83.930450,84.041878
862.888550,16.000000,2907.789795,4199.399902,393.631348,83.842796,83.842827,83.918999,84.037933
864.713379,16.000000,2907.789795,4198.200195,393.681335,83.737282,83.737267,83.913628,84.031982
864.105225,16.000000,2910.586670,4200.000000,393.747986,83.841728,83.841736,83.910118,84.028214
867.754822,16.000000,2916.179932,4200.600098,393.981262,83.769714,83.769722,83.893005,84.023094
867.146606,16.000000,2917.578369,4200.600098,394.064575,83.839607,83.839600,83.890404,84.019463
867.754822,16.000000,2920.375000,4200.600098,394.097900,83.874031,83.874001,83.889915,84.016579
865.321716,16.000000,2921.773193,4200.600098,394.147888,84.049568,84.049568,83.893082,84.017235
866.538269,16.000000,2923.171631,4197.600098,394.181213,84.014725,84.014732,83.896675,84.017189
866.538269,16.000000,2920.375000,4204.200195,394.214539,83.943321,83.943314,83.897598,84.015724
864.105225,16.000000,2924.570068,4202.399902,394.264526,84.189270,84.189247,83.903374,84.019157
865.321716,16.000000,2927.366699,4195.199707,394.514465,84.190239,84.190254,83.943329,84.022545
864.713379,16.000000,2927.366699,4197.600098,394.564453,84.224876,84.224884,83.951653,84.026550
865.321716,16.000000,2927.366699,4198.200195,394.614441,84.189377,84.189384,83.958679,84.029778
867.146606,16.000000,2930.163330,4203.000000,394.697754,84.151741,84.151756,83.969925,84.032196
867.754822,16.000000,2930.163330,4205.399902,394.747742,84.115891,84.115868,83.972809,84.033852
863.496887,16.000000,2927.366699,4191.000000,394.897705,84.297569,84.297577,84.000763,84.039070
