Ps,ST,Pd,CompSpeed,WORK_MINUTES,T_dis_es,t_dis_old,T_dis_delay,t_dis
829.433411,13.400000,2444.940674,4558.800293,113.826500,71.527107,71.527107,71.527107,71.527107
828.825134,13.500000,2446.338867,4560.000000,113.859840,71.686356,71.686340,71.528694,71.530258
828.216858,13.500000,2449.135498,4555.799805,113.893181,71.794846,71.794823,71.533958,71.535500
829.433411,13.500000,2450.533936,4561.199707,113.926521,71.764458,71.764458,71.538528,71.540031
828.216858,13.500000,2450.533936,4563.599609,113.959862,71.833549,71.833519,71.544365,71.545845
831.258240,13.500000,2450.533936,4501.199707,113.993202,71.652992,71.652954,71.546516,71.547966
830.041748,13.500000,2453.330322,4561.799805,114.026543,71.805000,71.804985,71.551636,71.553055
832.474731,13.500000,2451.932373,4499.399902,114.059883,71.621780,71.621765,71.553024,71.554413
834.907898,13.500000,2453.330322,4500.600098,114.093224,71.522888,71.522865,71.552429,71.553787
832.474731,13.500000,2453.330322,4497.600098,114.126564,71.658928,71.658890,71.554535,71.555870
833.083130,13.500000,2453.330322,4498.200195,114.159904,71.624840,71.624832,71.555931,71.557236
834.299622,13.500000,2453.330322,4500.000000,114.193245,71.556862,71.556808,71.555946,71.557228
828.825134,13.500000,2454.729004,4494.000000,114.226585,71.901558,71.901550,71.562790,71.564049
832.474731,13.500000,2453.330322,4444.800293,114.259926,71.653717,71.653679,71.564590,71.565826
831.258240,13.500000,2454.729004,4495.799805,114.293266,71.764503,71.764488,71.568550,71.569763
836.124512,13.500000,2454.729004,4439.399902,114.343277,71.486130,71.486115,71.566917,71.568108
836.124512,13.500000,2454.729004,4438.800293,114.376617,71.486084,71.486084,71.565315,71.566483
837.341003,13.500000,2454.729004,4440.000000,114.409958,71.418259,71.418259,71.562408,71.563545
834.907898,13.599999,2456.127197,4437.000000,114.443298,71.678574,71.678558,71.564705,71.565826
837.949341,13.599999,2454.729004,4437.600098,114.476639,71.471321,71.471268,71.562859,71.563957
836.124512,13.500000,2456.127197,4442.399902,114.509979,71.523697,71.523705,71.562080,71.563164
834.299622,13.599999,2456.127197,4438.200195,114.543320,71.712761,71.712769,71.565063,71.566124
835.516113,13.599999,2454.729004,4439.399902,114.576660,71.607353,71.607338,71.565903,71.566940
834.299622,13.599999,2456.127197,4443.599609,114.610001,71.713173,71.713196,71.568817,71.569839
832.474731,13.599999,2456.127197,4442.399902,114.643341,71.815582,71.815598,71.573708,71.574707
831.866516,13.599999,2454.729004,4442.399902,114.676682,71.812431,71.812424,71.578430,71.579414
833.083130,13.599999,2456.127197,4438.800293,114.710022,71.781105,71.781113,71.582443,71.583405
830.041748,13.599999,2456.127197,4441.799805,114.743362,71.952675,71.952675,71.589775,71.590714
832.474731,13.599999,2453.330322,4437.600098,114.776703,71.740448,71.740425,71.592758,71.593681
832.474731,13.599999,2454.729004,4437.600098,114.810043,71.777847,71.777824,71.596428,71.597328
