Ps,ST,Pd,CompSpeed,WORK_MINUTES,T_dis_es,t_dis_old,T_dis_delay,t_dis
965.687378,6.400000,966.898987,0.000000,0.000000,5.976187,5.976247,5.976187,5.976247
965.687378,6.400000,966.898987,0.000000,0.000000,5.976187,5.976247,5.976187,5.976247
965.687378,6.400000,966.898987,0.000000,0.000000,5.976187,5.976247,5.976187,5.976247
965.687378,6.400000,966.898987,0.000000,0.000000,5.976187,5.976247,5.976187,5.976247
965.079041,6.400000,966.898987,0.000000,0.000000,5.970608,5.970616,5.976131,5.976191
965.079041,6.400000,966.898987,0.000000,0.000000,5.970608,5.970616,5.976077,5.976136
965.079041,6.400000,966.898987,0.000000,0.000000,5.970608,5.970616,5.976022,5.976081
965.079041,6.400000,966.898987,0.000000,0.000000,5.970608,5.970616,5.975968,5.976027
965.079041,6.400000,966.898987,0.000000,0.000000,5.970608,5.970616,5.975915,5.975973
964.470703,6.400000,966.898987,0.000000,0.000000,5.965021,5.965053,5.975807,5.975864
963.862488,6.400000,966.898987,0.000000,0.000000,5.959428,5.959422,5.975644,5.975700
964.470703,6.400000,965.500549,0.000000,0.000000,5.930614,5.930657,5.975195,5.975252
963.862488,6.400000,965.500549,0.000000,0.000000,5.925017,5.925019,5.974696,5.974752
963.862488,6.300000,965.500549,0.000000,0.000000,5.925017,5.925019,5.974202,5.974257
963.254211,6.400000,964.102234,0.000000,0.000000,5.885005,5.884980,5.973314,5.973369
963.254211,6.400000,964.102234,0.000000,0.000000,5.885005,5.884980,5.972435,5.972490
963.254211,6.400000,964.102234,0.000000,0.000000,5.885005,5.884980,5.971566,5.971619
963.254211,6.300000,964.102234,0.000000,0.000000,5.885005,5.884980,5.970705,5.970757
962.037659,6.300000,964.102234,0.000000,0.000000,5.873767,5.873827,5.969740,5.969792
962.037659,6.300000,964.102234,0.000000,0.000000,5.873767,5.873827,5.969261,5.968837
960.821106,6.300000,964.102234,0.000000,0.000000,5.862500,5.862538,5.968199,5.967780
960.821106,6.300000,962.703918,0.000000,0.000000,5.828081,5.828094,5.966805,5.966390
960.821106,6.300000,961.305603,0.000000,0.000000,5.793665,5.793676,5.965082,5.964671
961.429321,6.300000,962.703918,0.000000,0.000000,5.833721,5.833745,5.963775,5.963368
962.037659,6.300000,962.703918,0.000000,0.000000,5.839355,5.839397,5.962537,5.962135
961.429321,6.300000,962.703918,0.000000,0.000000,5.833721,5.833745,5.961255,5.960857
943.789368,6.300000,1028.425659,1071.000000,0.000000,8.352916,8.352910,6.008613,5.984659
952.913513,6.300000,990.670715,1280.400024,0.033333,6.443758,6.443785,6.011505,5.987710
935.881714,6.300000,987.873901,1363.799927,0.066667,7.555592,7.555608,6.021764,5.998127
780.163025,6.200000,1007.450745,1437.000000,0.100000,15.295359,15.295326,6.083383,6.059903
695.004395,6.200000,1020.035706,1529.400024,0.133333,21.021187,21.021214,6.182637,6.159313
945.614197,6.100000,1061.985718,1602.599976,0.166667,9.099501,9.099456,6.202018,6.178849
921.283203,6.000000,1159.869385,1689.000000,0.200000,15.679186,15.679156,6.264989,6.241973
906.684509,6.000000,1238.176147,1773.599976,0.233333,20.398205,20.398212,6.358897,6.336034
897.560364,5.900000,1299.702881,1836.600098,0.283333,23.495407,23.495407,6.472760,6.450050
890.261047,5.699999,1358.432983,1921.799927,0.316667,26.232531,26.232512,6.604054,6.581494
881.136902,5.400001,1414.366577,2005.199951,0.350000,28.769281,28.769247,6.751330,6.728921
874.445862,5.200000,1463.308350,2088.000000,0.383333,30.929264,30.929251,6.911981,6.889720
867.754822,5.000000,1510.851929,2174.400146,0.416667,32.982517,32.982502,7.085206,7.063093
865.929932,4.699999,1559.793579,2255.399902,0.450000,34.693283,34.693298,7.268648,7.246682
859.238953,4.499999,1659.075562,2340.000000,0.483334,38.503170,38.503159,7.476185,7.454365
852.547852,4.200001,1745.772217,2392.199951,0.516667,41.637478,41.637466,7.703170,7.681495
848.898254,4.000000,1824.079102,2394.600098,0.550000,44.319408,44.319424,8.067508,7.924935
842.815491,3.800000,1885.605835,2397.599854,0.583333,46.519119,46.519100,8.322999,8.181374
835.516113,3.600000,1933.149414,2398.800049,0.616667,48.300613,48.300617,8.588630,8.447946
828.825134,3.399999,1958.319702,2395.800049,0.650000,49.315250,49.315239,8.859238,8.719488
820.309265,3.199999,1972.302979,2395.199951,0.683333,50.072598,50.072575,9.133080,8.994259
814.226501,3.000001,1980.692871,2395.800049,0.716667,50.516132,50.516117,9.408050,9.270150
806.927124,2.700000,1987.684570,2403.000000,0.750000,50.899796,50.899807,9.683741,9.546759
797.803040,2.500000,1990.481323,2398.200195,0.783333,51.349442,51.349434,9.960588,9.824516
791.720276,2.300000,1993.277954,2397.599854,0.816667,51.625202,51.625183,10.237429,10.102261
787.462402,2.099999,1991.879517,2401.799805,0.850000,51.658619,51.658627,10.512651,10.378382
778.338257,1.899999,2000.269531,2400.000000,0.883333,52.303757,52.303745,10.790332,10.656955
