,Pd,Ps,CompSpeed,ST,CompSpeed_rated,Fw,T_dis,SSH,EXV,Fan,ODU_Mode,STARTUP_Mode,DEFROST_Mode,Current,WORK_MINUTES,Timedelta,flag,Fan_cu,Comp_cu,T_dis_es,T_dis_delay,T_diff
2023-04-03 12:56:29.360,2332.428955078125,357.0597839355469,4016.400146484375,-10.800000190734863,3600,0.8,70.5999984741211,5.4693989753723145,14,726,3,0,0,8.982046127319336,225.30577087402344,0,1,0.2475151525,8.734530974819336,80.13131936983335,80.13131936983335,9.531320895712255
2023-04-03 12:56:31.377,2328.23388671875,355.2349853515625,4025.3997802734375,-10.699999809265137,3600,0.8,70.5,5.6788010597229,14,729,3,0,0,8.973193168640137,225.33909606933594,2,1,0.2485433263,8.724649842340137,80.31661234948393,80.13498841665738,9.634988416657379
2023-04-03 12:56:33.379,2326.83544921875,354.0184020996094,4019.399871826172,-10.5,3600,0.8,70.5,5.952349662780762,14,732,3,0,0,8.946632385253906,225.37242126464844,4,1,0.24957553609999997,8.697056849153906,80.62601524761874,80.14471139935239,9.644711399352389
2023-04-03 12:56:35.378,2324.038818359375,352.193603515625,4024.8001098632812,-10.300000190734863,3600,0.8,70.5999984741211,6.262666702270508,14,732,3,0,0,8.964339256286621,225.40574645996094,6,1,0.24957553609999997,8.714763720186621,80.95940510673539,80.1608434156072,9.56084494148611
2023-04-03 12:56:37.393,2322.640625,350.97698974609375,4022.4000549316406,-10.199999809265137,3600,0.8,70.5,6.436217784881592,14,726,3,0,0,8.955486297607422,225.43907165527344,8,1,0.2475151525,8.707971145107422,81.17164064594922,80.18085854178584,9.680858541785838
2023-04-03 12:56:39.396,2319.84375,350.3688049316406,4019.399871826172,-9.899999618530273,3600,0.8,70.5,6.772985458374023,14,731,3,0,0,8.920071601867676,225.47239685058594,10,1,0.2492354883,8.670836113567676,81.45487793340438,80.20608581597281,9.706085815972813
2023-04-03 12:56:41.412,2319.84375,348.5439453125,4018.2000732421875,-9.800000190734863,3600,0.8,70.5,6.983307361602783,14,729,3,0,0,8.911218643188477,225.50572204589844,12,1,0.2485433263,8.662675316888476,81.79326062579747,80.23751398290143,9.737513982901433
2023-04-03 12:56:47.476,2317.047119140625,347.9356689453125,4020.600128173828,-9.199999809265137,3600,0.8,70.5,7.620082378387451,14,728,3,0,0,8.902365684509277,225.60569763183594,18,1,0.2481992633,8.654166421209277,82.36653746847115,80.27967147247679,9.779671472476792
2023-04-03 12:56:49.494,2315.64892578125,347.9356689453125,4020.600128173828,-9.100000381469727,3600,0.8,70.5,7.720081329345703,14,729,3,0,0,8.902365684509277,225.63902282714844,20,1,0.2485433263,8.653822358209277,82.41899045922223,80.3220328266344,9.822032826634398
2023-04-03 12:56:51.510,2314.25048828125,347.9356689453125,4018.8002014160156,-8.899999618530273,3600,0.8,70.5,7.9200825691223145,14,728,3,0,0,8.902365684509277,225.67234802246094,22,1,0.2481992633,8.654166421209277,82.57126887294653,80.36657068439764,9.866570684397644
