,Pd,Ps,CompSpeed,ST,CompSpeed_rated,Fw,T_dis,SSH,EXV,Fan,ODU_Mode,STARTUP_Mode,DEFROST_Mode,Current,WORK_MINUTES,Timedelta,flag,Fan_cu,Comp_cu,P_dis_es,P_diff
2023-03-29 15:41:10.294,2821.8466796875,759.1304931640625,4198.800201416016,15.899999618530273,3600,0.8,83.5,13.512619972229004,96,1177,3,0,0,14.462332725524902,387.4661865234375,0,1,0.4026858799,14.059646845624902,3456.62177734375,634.7750976562502
2023-03-29 15:41:13.016,2820.4482421875,760.3469848632812,4198.800201416016,15.899999618530273,3600,0.8,83.39999389648438,13.467384338378906,96,1172,3,0,0,14.488893508911133,387.51617431640625,2,1,0.4009655441,14.087927964811133,3463.762890625,643.3146484375002
2023-03-29 15:41:15.801,2816.25341796875,760.3469848632812,4204.800109863281,15.899999618530273,3600,0.8,83.5,13.467384338378906,96,1178,3,0,0,14.480039596557617,387.566162109375,5,1,0.40303397890000003,14.077005617657617,3453.8751953125,637.6217773437502
2023-03-29 15:41:19.593,2816.25341796875,762.171875,4200.0,15.899999618530273,3600,0.8,83.5,13.39952278137207,96,1170,3,0,0,14.462332725524902,387.6328125,9,1,0.4002814333,14.062051292224902,3453.32587890625,637.0724609375002
2023-03-29 15:41:22.330,2816.25341796875,760.3469848632812,4200.0,16.0,3600,0.8,83.5,13.567383766174316,96,1174,3,0,0,14.471185684204102,387.6661376953125,12,1,0.4016577061,14.069527978104102,3457.17109375,640.9176757812502
2023-03-29 15:41:29.597,2813.45654296875,759.7388305664062,4203.000183105469,16.0,3600,0.8,83.5,13.589999198913574,96,1170,3,0,0,14.453479766845703,387.7994384765625,19,1,0.4002814333,14.053198333545703,3449.4806640625,636.0241210937502
2023-03-29 15:41:32.542,2810.659912109375,761.5635375976562,4198.800201416016,16.0,3600,0.8,83.39999389648438,13.522146224975586,96,1173,3,0,0,14.462332725524902,387.84942626953125,22,1,0.4013096071,14.061023118424902,3454.973828125,644.3139160156252
2023-03-29 15:41:36.056,2812.058349609375,760.955322265625,4200.600128173828,16.0,3600,0.8,83.39999389648438,13.54476261138916,96,1171,3,0,0,14.453479766845703,387.8994140625,25,1,0.4006254963,14.052854270545703,3451.12861328125,639.0702636718752
2023-03-29 15:41:39.009,2807.86328125,757.9139404296875,4205.3997802734375,16.0,3600,0.8,83.5,13.657857894897461,96,1171,3,0,0,14.435771942138672,387.94940185546875,28,1,0.4006254963,14.035146445838672,3443.43818359375,635.5749023437502
2023-03-29 15:42:03.120,2800.87158203125,760.3469848632812,4196.999816894531,16.0,3600,0.8,83.5,13.567383766174316,96,1172,3,0,0,14.391505241394043,388.34930419921875,52,1,0.4009655441,13.990539697294043,3437.395703125,636.5241210937502
2023-03-29 15:42:05.704,2799.47314453125,756.6973876953125,4195.199890136719,16.0,3600,0.8,83.5,13.70309829711914,96,1173,3,0,0,14.391505241394043,388.3992919921875,55,1,0.4013096071,13.990195634294043,3442.33955078125,642.8664062500002
2023-03-29 15:42:08.468,2798.074951171875,756.6973876953125,4202.400054931641,16.0,3600,0.8,83.5,13.70309829711914,96,1169,3,0,0,14.400358200073242,388.4326171875,58,1,0.3999333343,14.000424865773242,3437.94501953125,639.8700683593752
2023-03-29 15:42:11.235,2799.47314453125,757.3056030273438,4195.800018310547,16.0,3600,0.8,83.39999389648438,13.68048095703125,96,1176,3,0,0,14.400358200073242,388.48260498046875,60,1,0.40234181690000004,13.998016383173242,3443.43818359375,643.9650390625002
2023-03-29 15:42:24.526,2799.47314453125,756.6973876953125,4196.400146484375,16.0,3600,0.8,83.39999389648438,13.70309829711914,96,1166,3,0,0,14.400358200073242,388.71588134765625,74,1,0.3989051605,14.001453039573242,3444.53681640625,645.0636718750002
