Ps,I_test,CompSpeed,P_dis_es,P_dis
759.130493,14.059647,4198.800293,3456.621826,3456.267090
760.346985,14.087928,4198.800293,3463.762939,3464.470215
760.346985,14.077005,4204.800293,3453.875244,3452.165527
762.171875,14.062051,4200.000000,3453.325928,3452.165527
760.346985,14.069528,4200.000000,3457.171143,3456.267090
759.738831,14.053198,4203.000000,3449.480713,3452.165527
761.563538,14.061023,4198.800293,3454.973877,3452.165527
760.955322,14.052855,4200.600098,3451.128662,3452.165527
757.913940,14.035147,4205.399902,3443.438232,3443.962402
760.346985,13.990540,4197.000000,3437.395752,3435.759277
756.697388,13.990195,4195.199707,3442.339600,3443.962402
756.697388,14.000425,4202.399902,3437.945068,3435.759277
757.305603,13.998016,4195.799805,3443.438232,3443.962402
756.697388,14.001453,4196.400391,3444.536865,3443.962402
757.305603,13.994325,4193.399902,3445.086182,3443.962402
754.264221,13.971544,4198.800293,3435.198486,3435.759277
757.913940,13.983062,4199.399902,3435.198486,3435.759277
760.955322,13.988223,4202.399902,3430.803955,3431.657715
754.264221,13.976617,4203.599609,3431.902588,3431.657715
759.738831,13.990540,4197.600098,3437.395752,3435.759277
757.913940,13.999733,4198.800293,3440.142334,3439.860840
758.522156,13.999393,4204.800293,3433.550537,3435.759277
759.738831,14.008246,4202.399902,3437.395752,3435.759277
760.955322,14.024577,4197.600098,3446.184814,3443.962402
763.388367,14.037559,4197.600098,3447.832764,3448.063965
763.996704,14.051138,4199.399902,3449.480713,3448.063965
764.604919,14.077441,4204.200195,3451.128662,3452.165527
763.996704,14.078730,4196.400391,3460.467041,3460.368652
762.780212,14.088268,4201.799805,3458.269775,3460.368652
764.604919,14.087584,4195.199707,3463.762939,3464.470215
763.388367,14.096437,4205.399902,3456.621826,3456.267090
765.821594,14.097465,4200.600098,3459.917725,3460.368652
767.646301,14.105289,4205.399902,3455.523193,3456.267090
763.996704,14.105289,4201.799805,3462.114990,3460.368652
764.604919,14.114828,4192.799805,3473.650635,3472.673340
763.996704,14.106667,4197.600098,3467.058838,3468.571777
764.604919,14.106318,4200.000000,3463.762939,3464.470215
760.955322,14.114828,4197.600098,3472.002686,3472.673340
762.780212,14.115520,4203.000000,3464.861572,3464.470215
758.522156,14.098497,4198.200195,3468.706787,3468.571777
761.563538,14.080450,4198.800293,3460.467041,3460.368652
763.388367,14.077353,4198.800293,3457.720459,3460.368652
761.563538,14.079074,4202.399902,3456.072510,3456.267090
761.563538,14.078382,4198.200195,3460.467041,3460.368652
761.563538,14.060428,4198.200195,3454.973877,3456.267090
760.955322,14.044693,4201.799805,3447.283447,3448.063965
760.346985,14.033086,4198.800293,3447.832764,3448.063965
758.522156,14.034462,4197.600098,3451.128662,3452.165527
757.305603,14.034462,4199.399902,3450.030029,3452.165527
756.089111,14.024233,4198.800293,3448.931396,3448.063965
759.738831,14.018132,4199.399902,3443.438232,3443.962402
756.697388,14.016407,4206.000000,3438.494385,3439.860840
756.697388,14.018476,4195.199707,3450.579346,3452.165527
757.305603,14.013408,4197.000000,3446.734131,3443.962402
757.913940,13.989847,4202.399902,3434.099854,3435.759277
756.697388,13.981341,4196.400391,3438.494385,3435.759277
756.089111,13.989504,4203.000000,3434.649170,3435.759277
757.305603,13.990880,4204.800293,3431.902588,3431.657715
759.738831,14.007902,4193.399902,3446.734131,3443.962402
759.130493,13.999481,4201.199707,3436.846436,3435.759277
760.346985,13.990880,4198.800293,3435.747803,3435.759277
759.738831,13.988819,4197.000000,3437.395752,3435.759277
760.955322,14.006614,4197.000000,3441.790283,3443.962402
760.955322,14.008930,4204.200195,3434.649170,3435.759277
760.346985,13.998016,4200.600098,3435.747803,3435.759277
756.089111,13.994325,4201.799805,3437.395752,3435.759277
757.305603,14.017099,4199.399902,3445.086182,3443.962402
761.563538,14.042284,4199.399902,3448.931396,3448.063965
763.388367,14.035839,4198.200195,3446.734131,3443.962402
762.780212,14.026294,4200.000000,3442.339600,3443.962402
766.429810,14.052170,4200.600098,3446.184814,3443.962402
765.821594,14.079758,4200.600098,3454.424561,3452.165527
766.429810,14.094465,4200.600098,3458.269775,3460.368652
763.996704,14.086892,4200.600098,3458.269775,3460.368652
765.213257,14.087928,4197.600098,3460.467041,3460.368652
765.213257,14.097121,4204.200195,3456.621826,3456.267090
762.780212,14.078382,4202.399902,3454.973877,3452.165527
763.996704,14.113452,4195.199707,3471.453369,3468.571777
