Ps,I_test,CompSpeed,P_dis_es,P_dis
416.670929,12.799990,5398.800293,2444.231689,2443.181152
419.103973,12.867716,5400.000000,2455.767334,2455.485840
419.712311,12.858179,5401.199707,2451.922119,2451.384277
420.320557,12.911300,5398.800293,2465.105713,2463.688965
421.537109,12.893933,5398.200195,2459.887207,2459.587402
422.753693,12.943617,5402.399902,2466.753662,2467.790527
423.970215,12.920837,5400.000000,2461.260498,2459.587402
427.011536,12.948430,5401.799805,2462.359131,2463.688965
429.444733,12.936483,5400.000000,2457.689941,2459.587402
430.052948,12.991322,5397.000000,2471.697510,2471.892090
431.269531,12.983503,5398.800293,2467.302979,2467.790527
431.269531,12.992013,5398.800293,2468.950928,2467.790527
432.486115,13.000518,5401.799805,2467.302979,2467.790527
431.877777,13.009372,5397.600098,2473.345459,2471.892090
434.310913,13.048915,5398.800293,2478.289307,2475.993652
434.310913,13.028804,5397.000000,2474.993408,2475.993652
435.527496,13.020293,5395.799805,2472.246826,2471.892090
435.527496,13.044442,5399.399902,2474.993408,2475.993652
436.744049,13.079515,5395.799805,2484.331787,2484.196777
436.744049,13.065936,5400.000000,2478.289307,2475.993652
437.960571,13.106759,5403.000000,2483.782471,2484.196777
437.352295,13.099975,5395.799805,2488.177002,2488.298340
437.960571,13.088709,5398.800293,2482.683838,2484.196777
438.568878,13.104699,5397.000000,2487.078369,2488.298340
437.960571,13.140454,5397.000000,2495.867432,2496.501465
437.960571,13.114929,5395.799805,2490.923584,2492.399902
439.177094,13.151375,5402.399902,2492.571533,2492.399902
439.177094,13.134353,5400.000000,2490.923584,2492.399902
439.177094,13.142866,5401.199707,2491.747559,2492.399902
439.785431,13.135729,5402.399902,2488.177002,2488.298340
439.785431,13.149307,5402.399902,2491.472900,2492.399902
440.393677,13.185757,5400.600098,2500.536621,2500.603027
441.001953,13.151375,5397.600098,2494.219482,2492.399902
441.001953,13.176211,5398.800293,2499.163330,2500.603027
441.001953,13.212317,5401.199707,2505.205811,2504.704590
441.610291,13.212657,5401.199707,2504.656494,2504.704590
443.435059,13.205180,5402.399902,2499.712646,2500.603027
442.218475,13.231056,5400.000000,2509.051025,2508.806152
442.826721,13.275667,5398.200195,2520.037354,2521.110840
443.435059,13.246354,5400.000000,2511.248291,2508.806152
442.826721,13.238533,5403.599609,2507.403076,2508.806152
442.826721,13.232777,5398.800293,2509.600342,2508.806152
443.435059,13.257268,5400.000000,2513.445557,2512.907715
444.043335,13.248762,5400.600098,2510.149658,2508.806152
443.435059,13.275323,5401.199707,2516.741455,2517.009277
444.043335,13.256584,5400.000000,2512.621582,2512.907715
443.435059,13.234153,5398.800293,2509.051025,2508.806152
444.043335,13.247730,5395.799805,2513.994873,2512.907715
443.435059,13.272223,5403.599609,2513.994873,2512.907715
443.435059,13.276700,5401.799805,2516.741455,2517.009277
443.435059,13.266814,5397.000000,2518.114746,2517.009277
443.435059,13.273947,5400.600098,2516.741455,2517.009277
444.043335,13.255892,5403.599609,2509.600342,2508.806152
442.826721,13.256925,5400.000000,2514.269531,2512.907715
443.435059,13.235781,5401.199707,2507.677734,2508.806152
442.826721,13.240253,5400.000000,2510.424316,2508.806152
442.826721,13.257616,5397.000000,2516.741455,2517.009277
443.435059,13.229680,5403.000000,2504.656494,2504.704590
442.826721,13.264402,5398.800293,2516.741455,2517.009277
442.826721,13.238533,5403.000000,2507.677734,2508.806152
442.826721,13.230708,5400.600098,2507.952393,2508.806152
442.218475,13.230365,5395.199707,2512.896240,2512.907715
442.218475,13.194950,5400.600098,2500.261963,2500.603027
441.001953,13.185412,5400.600098,2499.712646,2500.603027
441.610291,13.185757,5400.600098,2499.163330,2500.603027
441.001953,13.203119,5402.399902,2502.459229,2500.603027
441.610291,13.169766,5395.799805,2499.163330,2500.603027
441.610291,13.162981,5402.399902,2492.296875,2492.399902
441.001953,13.143207,5398.800293,2491.472900,2492.399902
